ms_timestamp,GSR,timestamp
1771288215748,1.0,2026-02-16 19:30:15.748
1771288215797,0.0,2026-02-16 19:30:15.797
1771288215846,1.0,2026-02-16 19:30:15.846
1771288215895,2.0,2026-02-16 19:30:15.895
1771288215949,1.0,2026-02-16 19:30:15.949
1771288215998,1.0,2026-02-16 19:30:15.998
1771288216047,2.0,2026-02-16 19:30:16.047
1771288216096,1.0,2026-02-16 19:30:16.096
1771288216149,1.0,2026-02-16 19:30:16.149
1771288216198,2.0,2026-02-16 19:30:16.198
1771288216248,1.0,2026-02-16 19:30:16.248
1771288216297,1.0,2026-02-16 19:30:16.297
1771288216350,2.0,2026-02-16 19:30:16.350
1771288216399,2.0,2026-02-16 19:30:16.399
1771288216448,0.0,2026-02-16 19:30:16.448
1771288216501,2.0,2026-02-16 19:30:16.501
1771288216551,1.0,2026-02-16 19:30:16.551
1771288216600,2.0,2026-02-16 19:30:16.600
1771288216649,2.0,2026-02-16 19:30:16.649
1771288216702,5.0,2026-02-16 19:30:16.702
1771288216751,1.0,2026-02-16 19:30:16.751
1771288216801,3.0,2026-02-16 19:30:16.801
1771288216850,2.0,2026-02-16 19:30:16.850
1771288216903,3.0,2026-02-16 19:30:16.903
1771288216952,2.0,2026-02-16 19:30:16.952
1771288217001,4.0,2026-02-16 19:30:17.001
1771288217050,2.0,2026-02-16 19:30:17.050
1771288217104,3.0,2026-02-16 19:30:17.104
1771288217153,1.0,2026-02-16 19:30:17.153
1771288217202,3.0,2026-02-16 19:30:17.202
1771288217251,2.0,2026-02-16 19:30:17.251
1771288217304,3.0,2026-02-16 19:30:17.304
1771288217354,3.0,2026-02-16 19:30:17.354
1771288217403,4.0,2026-02-16 19:30:17.403
1771288217452,1.0,2026-02-16 19:30:17.452
1771288217505,5.0,2026-02-16 19:30:17.505
1771288217554,2.0,2026-02-16 19:30:17.554
1771288217603,1.0,2026-02-16 19:30:17.603
1771288217652,5.0,2026-02-16 19:30:17.652
1771288217706,3.0,2026-02-16 19:30:17.706
1771288217755,3.0,2026-02-16 19:30:17.755
1771288217804,4.0,2026-02-16 19:30:17.804
