ms_timestamp,GSR,timestamp
1771432586045,870.0,2026-02-18 11:36:26.045
1771432586098,870.0,2026-02-18 11:36:26.098
1771432586147,870.0,2026-02-18 11:36:26.147
1771432586196,870.0,2026-02-18 11:36:26.196
1771432586246,870.0,2026-02-18 11:36:26.246
1771432586299,870.0,2026-02-18 11:36:26.299
1771432586348,870.0,2026-02-18 11:36:26.348
1771432586397,870.0,2026-02-18 11:36:26.397
1771432586450,870.0,2026-02-18 11:36:26.450
1771432586499,870.0,2026-02-18 11:36:26.499
1771432586548,870.0,2026-02-18 11:36:26.548
1771432586598,871.0,2026-02-18 11:36:26.598
1771432586651,871.0,2026-02-18 11:36:26.651
1771432586703,871.0,2026-02-18 11:36:26.703
1771432586751,871.0,2026-02-18 11:36:26.751
1771432586803,872.0,2026-02-18 11:36:26.803
1771432586852,872.0,2026-02-18 11:36:26.852
1771432586901,872.0,2026-02-18 11:36:26.901
1771432586951,872.0,2026-02-18 11:36:26.951
1771432587003,872.0,2026-02-18 11:36:27.003
1771432587052,872.0,2026-02-18 11:36:27.052
1771432587104,872.0,2026-02-18 11:36:27.104
1771432587155,872.0,2026-02-18 11:36:27.155
1771432587204,872.0,2026-02-18 11:36:27.204
1771432587253,872.0,2026-02-18 11:36:27.253
1771432587303,872.0,2026-02-18 11:36:27.303
1771432587355,872.0,2026-02-18 11:36:27.355
1771432587405,872.0,2026-02-18 11:36:27.405
1771432587454,871.0,2026-02-18 11:36:27.454
1771432587503,871.0,2026-02-18 11:36:27.503
1771432587556,871.0,2026-02-18 11:36:27.556
1771432587605,871.0,2026-02-18 11:36:27.605
1771432587654,870.0,2026-02-18 11:36:27.654
1771432587708,870.0,2026-02-18 11:36:27.708
1771432587757,869.0,2026-02-18 11:36:27.757
1771432587806,869.0,2026-02-18 11:36:27.806
1771432587855,868.0,2026-02-18 11:36:27.855
1771432587909,868.0,2026-02-18 11:36:27.909
1771432587957,868.0,2026-02-18 11:36:27.957
1771432588007,868.0,2026-02-18 11:36:28.007
1771432588060,867.0,2026-02-18 11:36:28.060
1771432588109,867.0,2026-02-18 11:36:28.109
1771432588158,867.0,2026-02-18 11:36:28.158
1771432588207,867.0,2026-02-18 11:36:28.207
1771432588261,867.0,2026-02-18 11:36:28.261
1771432588310,867.0,2026-02-18 11:36:28.310
1771432588359,867.0,2026-02-18 11:36:28.359
1771432588412,867.0,2026-02-18 11:36:28.412
1771432588461,867.0,2026-02-18 11:36:28.461
1771432588510,867.0,2026-02-18 11:36:28.510
1771432588560,867.0,2026-02-18 11:36:28.560
1771432588613,867.0,2026-02-18 11:36:28.613
1771432588662,867.0,2026-02-18 11:36:28.662
1771432588711,867.0,2026-02-18 11:36:28.711
1771432588760,867.0,2026-02-18 11:36:28.760
1771432588813,867.0,2026-02-18 11:36:28.813
1771432588863,867.0,2026-02-18 11:36:28.863
1771432588912,867.0,2026-02-18 11:36:28.912
1771432588965,867.0,2026-02-18 11:36:28.965
1771432589014,867.0,2026-02-18 11:36:29.014
1771432589063,867.0,2026-02-18 11:36:29.063
1771432589113,867.0,2026-02-18 11:36:29.113
1771432589166,867.0,2026-02-18 11:36:29.166
1771432589215,867.0,2026-02-18 11:36:29.215
1771432589264,868.0,2026-02-18 11:36:29.264
1771432589317,868.0,2026-02-18 11:36:29.317
1771432589366,868.0,2026-02-18 11:36:29.366
1771432589416,868.0,2026-02-18 11:36:29.416
1771432589465,869.0,2026-02-18 11:36:29.465
1771432589518,869.0,2026-02-18 11:36:29.518
1771432589568,869.0,2026-02-18 11:36:29.568
1771432589618,869.0,2026-02-18 11:36:29.618
1771432589669,869.0,2026-02-18 11:36:29.669
1771432589719,869.0,2026-02-18 11:36:29.719
1771432589768,869.0,2026-02-18 11:36:29.768
1771432589817,869.0,2026-02-18 11:36:29.817
1771432589870,869.0,2026-02-18 11:36:29.870
1771432589919,869.0,2026-02-18 11:36:29.919
1771432589969,869.0,2026-02-18 11:36:29.969
1771432590018,869.0,2026-02-18 11:36:30.018
1771432590071,869.0,2026-02-18 11:36:30.071
1771432590120,869.0,2026-02-18 11:36:30.120
1771432590169,868.0,2026-02-18 11:36:30.169
1771432590222,868.0,2026-02-18 11:36:30.222
1771432590272,867.0,2026-02-18 11:36:30.272
1771432590321,867.0,2026-02-18 11:36:30.321
1771432590370,867.0,2026-02-18 11:36:30.370
1771432590423,866.0,2026-02-18 11:36:30.423
1771432590472,866.0,2026-02-18 11:36:30.472
1771432590521,865.0,2026-02-18 11:36:30.521
1771432590575,865.0,2026-02-18 11:36:30.575
1771432590624,865.0,2026-02-18 11:36:30.624
1771432590673,865.0,2026-02-18 11:36:30.673
1771432590722,865.0,2026-02-18 11:36:30.722
1771432590775,865.0,2026-02-18 11:36:30.775
1771432590825,865.0,2026-02-18 11:36:30.825
1771432590874,865.0,2026-02-18 11:36:30.874
1771432590927,865.0,2026-02-18 11:36:30.927
1771432590976,865.0,2026-02-18 11:36:30.976
1771432591025,864.0,2026-02-18 11:36:31.025
1771432591074,865.0,2026-02-18 11:36:31.074
1771432591128,865.0,2026-02-18 11:36:31.128
1771432591177,865.0,2026-02-18 11:36:31.177
1771432591226,865.0,2026-02-18 11:36:31.226
1771432591275,865.0,2026-02-18 11:36:31.275
1771432591328,865.0,2026-02-18 11:36:31.328
1771432591377,865.0,2026-02-18 11:36:31.377
1771432591427,865.0,2026-02-18 11:36:31.427
1771432591480,865.0,2026-02-18 11:36:31.480
1771432591529,865.0,2026-02-18 11:36:31.529
1771432591578,865.0,2026-02-18 11:36:31.578
1771432591627,865.0,2026-02-18 11:36:31.627
1771432591681,865.0,2026-02-18 11:36:31.681
1771432591730,865.0,2026-02-18 11:36:31.730
1771432591779,865.0,2026-02-18 11:36:31.779
1771432591832,865.0,2026-02-18 11:36:31.832
1771432591881,866.0,2026-02-18 11:36:31.881
1771432591930,866.0,2026-02-18 11:36:31.930
1771432591980,866.0,2026-02-18 11:36:31.980
1771432592038,866.0,2026-02-18 11:36:32.038
1771432592082,867.0,2026-02-18 11:36:32.082
1771432592131,867.0,2026-02-18 11:36:32.131
1771432592184,867.0,2026-02-18 11:36:32.184
1771432592234,867.0,2026-02-18 11:36:32.234
1771432592283,868.0,2026-02-18 11:36:32.283
1771432592332,868.0,2026-02-18 11:36:32.332
1771432592385,868.0,2026-02-18 11:36:32.385
1771432592434,867.0,2026-02-18 11:36:32.434
1771432592483,867.0,2026-02-18 11:36:32.483
1771432592533,867.0,2026-02-18 11:36:32.533
1771432592586,867.0,2026-02-18 11:36:32.586
1771432592635,867.0,2026-02-18 11:36:32.635
1771432592684,867.0,2026-02-18 11:36:32.684
1771432592737,867.0,2026-02-18 11:36:32.737
1771432592786,866.0,2026-02-18 11:36:32.786
1771432592836,866.0,2026-02-18 11:36:32.836
1771432592885,866.0,2026-02-18 11:36:32.885
1771432592938,865.0,2026-02-18 11:36:32.938
1771432592987,865.0,2026-02-18 11:36:32.987
1771432593036,865.0,2026-02-18 11:36:33.036
1771432593089,864.0,2026-02-18 11:36:33.089
1771432593139,864.0,2026-02-18 11:36:33.139
1771432593188,864.0,2026-02-18 11:36:33.188
1771432593237,863.0,2026-02-18 11:36:33.237
1771432593304,863.0,2026-02-18 11:36:33.304
1771432593339,863.0,2026-02-18 11:36:33.339
1771432593388,863.0,2026-02-18 11:36:33.388
1771432593442,863.0,2026-02-18 11:36:33.442
1771432593491,863.0,2026-02-18 11:36:33.491
1771432593540,863.0,2026-02-18 11:36:33.540
1771432593589,863.0,2026-02-18 11:36:33.589
1771432593642,863.0,2026-02-18 11:36:33.642
1771432593692,863.0,2026-02-18 11:36:33.692
1771432593741,863.0,2026-02-18 11:36:33.741
1771432593791,863.0,2026-02-18 11:36:33.791
1771432593843,863.0,2026-02-18 11:36:33.843
1771432593893,863.0,2026-02-18 11:36:33.893
1771432593942,863.0,2026-02-18 11:36:33.942
1771432593995,863.0,2026-02-18 11:36:33.995
1771432594044,863.0,2026-02-18 11:36:34.044
1771432594093,863.0,2026-02-18 11:36:34.093
1771432594142,863.0,2026-02-18 11:36:34.142
1771432594195,863.0,2026-02-18 11:36:34.195
1771432594244,863.0,2026-02-18 11:36:34.244
1771432594294,863.0,2026-02-18 11:36:34.294
1771432594347,863.0,2026-02-18 11:36:34.347
1771432594396,863.0,2026-02-18 11:36:34.396
1771432594445,864.0,2026-02-18 11:36:34.445
1771432594494,864.0,2026-02-18 11:36:34.494
1771432594548,864.0,2026-02-18 11:36:34.548
1771432594597,865.0,2026-02-18 11:36:34.597
1771432594646,865.0,2026-02-18 11:36:34.646
1771432594699,865.0,2026-02-18 11:36:34.699
1771432594748,866.0,2026-02-18 11:36:34.748
1771432594798,866.0,2026-02-18 11:36:34.798
1771432594847,866.0,2026-02-18 11:36:34.847
1771432594900,866.0,2026-02-18 11:36:34.900
1771432594952,866.0,2026-02-18 11:36:34.952
1771432594998,866.0,2026-02-18 11:36:34.998
1771432595047,867.0,2026-02-18 11:36:35.047
1771432595101,867.0,2026-02-18 11:36:35.101
1771432595152,867.0,2026-02-18 11:36:35.152
1771432595199,866.0,2026-02-18 11:36:35.199
1771432595252,867.0,2026-02-18 11:36:35.252
1771432595301,867.0,2026-02-18 11:36:35.301
1771432595350,866.0,2026-02-18 11:36:35.350
1771432595399,866.0,2026-02-18 11:36:35.399
1771432595453,866.0,2026-02-18 11:36:35.453
1771432595502,866.0,2026-02-18 11:36:35.502
1771432595552,865.0,2026-02-18 11:36:35.552
1771432595605,865.0,2026-02-18 11:36:35.605
1771432595654,865.0,2026-02-18 11:36:35.654
1771432595703,865.0,2026-02-18 11:36:35.703
1771432595752,864.0,2026-02-18 11:36:35.752
1771432595805,864.0,2026-02-18 11:36:35.805
1771432595854,863.0,2026-02-18 11:36:35.854
1771432595905,863.0,2026-02-18 11:36:35.905
1771432595957,863.0,2026-02-18 11:36:35.957
1771432596006,863.0,2026-02-18 11:36:36.006
1771432596055,863.0,2026-02-18 11:36:36.055
1771432596104,863.0,2026-02-18 11:36:36.104
1771432596157,863.0,2026-02-18 11:36:36.157
1771432596206,863.0,2026-02-18 11:36:36.206
1771432596256,863.0,2026-02-18 11:36:36.256
1771432596305,863.0,2026-02-18 11:36:36.305
1771432596358,863.0,2026-02-18 11:36:36.358
1771432596407,863.0,2026-02-18 11:36:36.407
1771432596456,863.0,2026-02-18 11:36:36.456
1771432596509,864.0,2026-02-18 11:36:36.509
1771432596559,864.0,2026-02-18 11:36:36.559
1771432596608,864.0,2026-02-18 11:36:36.608
1771432596657,864.0,2026-02-18 11:36:36.657
1771432596710,864.0,2026-02-18 11:36:36.710
1771432596759,864.0,2026-02-18 11:36:36.759
1771432596809,864.0,2026-02-18 11:36:36.809
1771432596862,864.0,2026-02-18 11:36:36.862
1771432596911,864.0,2026-02-18 11:36:36.911
1771432596960,864.0,2026-02-18 11:36:36.960
1771432597009,864.0,2026-02-18 11:36:37.009
1771432597063,865.0,2026-02-18 11:36:37.063
1771432597112,864.0,2026-02-18 11:36:37.112
1771432597161,865.0,2026-02-18 11:36:37.161
1771432597214,865.0,2026-02-18 11:36:37.214
1771432597263,866.0,2026-02-18 11:36:37.263
1771432597312,866.0,2026-02-18 11:36:37.312
1771432597362,866.0,2026-02-18 11:36:37.362
1771432597415,867.0,2026-02-18 11:36:37.415
1771432597464,867.0,2026-02-18 11:36:37.464
1771432597513,867.0,2026-02-18 11:36:37.513
1771432597562,867.0,2026-02-18 11:36:37.562
1771432597615,868.0,2026-02-18 11:36:37.615
1771432597665,868.0,2026-02-18 11:36:37.665
1771432597714,868.0,2026-02-18 11:36:37.714
1771432597767,868.0,2026-02-18 11:36:37.767
1771432597816,868.0,2026-02-18 11:36:37.816
1771432597865,868.0,2026-02-18 11:36:37.865
1771432597915,868.0,2026-02-18 11:36:37.915
1771432597969,868.0,2026-02-18 11:36:37.969
1771432598017,867.0,2026-02-18 11:36:38.017
1771432598066,867.0,2026-02-18 11:36:38.066
1771432598119,867.0,2026-02-18 11:36:38.119
1771432598170,867.0,2026-02-18 11:36:38.170
1771432598220,866.0,2026-02-18 11:36:38.220
1771432598267,866.0,2026-02-18 11:36:38.267
1771432598320,866.0,2026-02-18 11:36:38.320
1771432598369,865.0,2026-02-18 11:36:38.369
1771432598418,865.0,2026-02-18 11:36:38.418
1771432598471,864.0,2026-02-18 11:36:38.471
1771432598521,864.0,2026-02-18 11:36:38.521
1771432598570,864.0,2026-02-18 11:36:38.570
1771432598619,864.0,2026-02-18 11:36:38.619
1771432598672,864.0,2026-02-18 11:36:38.672
1771432598721,864.0,2026-02-18 11:36:38.721
1771432598772,864.0,2026-02-18 11:36:38.772
1771432598820,864.0,2026-02-18 11:36:38.820
1771432598873,864.0,2026-02-18 11:36:38.873
1771432598922,864.0,2026-02-18 11:36:38.922
1771432598971,864.0,2026-02-18 11:36:38.971
1771432599024,864.0,2026-02-18 11:36:39.024
1771432599073,864.0,2026-02-18 11:36:39.073
1771432599123,864.0,2026-02-18 11:36:39.123
1771432599172,864.0,2026-02-18 11:36:39.172
1771432599225,864.0,2026-02-18 11:36:39.225
1771432599275,865.0,2026-02-18 11:36:39.275
1771432599323,864.0,2026-02-18 11:36:39.323
1771432599377,865.0,2026-02-18 11:36:39.377
1771432599426,865.0,2026-02-18 11:36:39.426
1771432599475,865.0,2026-02-18 11:36:39.475
1771432599524,865.0,2026-02-18 11:36:39.524
1771432599577,865.0,2026-02-18 11:36:39.577
1771432599627,865.0,2026-02-18 11:36:39.627
1771432599676,865.0,2026-02-18 11:36:39.676
1771432599729,866.0,2026-02-18 11:36:39.729
1771432599778,866.0,2026-02-18 11:36:39.778
1771432599827,866.0,2026-02-18 11:36:39.827
1771432599876,866.0,2026-02-18 11:36:39.876
1771432599930,866.0,2026-02-18 11:36:39.930
1771432599979,867.0,2026-02-18 11:36:39.979
1771432600028,867.0,2026-02-18 11:36:40.028
1771432600077,867.0,2026-02-18 11:36:40.077
1771432600130,868.0,2026-02-18 11:36:40.130
1771432600179,868.0,2026-02-18 11:36:40.179
1771432600229,868.0,2026-02-18 11:36:40.229
1771432600282,869.0,2026-02-18 11:36:40.282
1771432600331,869.0,2026-02-18 11:36:40.331
1771432600380,869.0,2026-02-18 11:36:40.380
1771432600429,869.0,2026-02-18 11:36:40.429
1771432600482,869.0,2026-02-18 11:36:40.482
1771432600532,869.0,2026-02-18 11:36:40.532
